,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Needed,"$25,000.00"
193653188277,Joe's Jeans Scout Cut Hem Jeans in Geranium Geranium 27 26,New,1,$178.00,$178.00,$44.50,JOE'S JEANS/CENTRIC WEST LLC,,
193653285037,"Joe's Jeans Women's Callie High Rise Cropped Bootcut Jean, Sunny, 26",New,1,$198.00,$198.00,$49.50,JOE'S JEANS/CENTRIC WEST LLC,,
193653295487,"Joe's Jeans Icon Animal-Print Ankle Skinny Jeans, Dark Leopard (28) Black",New,1,$188.00,$188.00,$47.00,JOE'S JEANS/CENTRIC WEST LLC,,
194374042992,We The Free Womens Layla Denim High Waist Flare Jeans Blue 25,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374047775,"Free People Just Float on Flare High Waist Corduroy Pants, Mustard Plaid 24",New,1,$108.00,$108.00,$27.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374164007,Free People Solid Rib Brami Cherry,New,1,$28.00,$28.00,$7.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374434476,Free People Peek Aye Bodysuit Black Sz S,New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374499116,"Free People Peek Aye Bodysuit, Sunlight, Small",New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374603667,Free People Womens Black Skinny Jeans Size 24,New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374653457,"Free People Women's Parker Wrap Skirt, Surf's Up, Blue, 25",New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374653532,Free People Womens Black Frayed Mini Wrap Skirt Size 25,New,1,$78.00,$78.00,$19.50,Free People,,
194374653549,"Free People Women's Mini Wrap Skirt, Sulphor Black, 26",New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374705484,"Free People Lea Bodysuit, Black, X-Small",New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374803258,Free People Womens Navy Color Block Sleeveless Scoop Neck Tank Top Size L,New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374803319,Free People Joni Long Knit Tank Top Yellow XL,New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374812526,"Free People Women's Float on Flutter Sleeve T-Shirt, Size Medium - White",New,1,$48.00,$48.00,$12.00,FREE PEOPLE/URBAN OUTFITTERS,,
