,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Client Spend,"$40,000.00"
887791344915,Nike Mixed Ponytail Holder 9PK OSFM Luminous Green/Mystic Navy/White|938,New,1,$10.00,$10.00,$2.50,NIKE/ENI-JR286 INC,,
193655464799,"Nike Women's Medium Support Non Padded Sports Bra, Black/(White), X-Small",New,1,$30.00,$30.00,$7.50,NIKE,,
193659939941,Nike NSW Print Romper Graphic (Grey Heather/Night Silver/White) Women's Jumpsuit (xs),New,1,$65.00,$65.00,$16.25,NIKE,,
888407694028,Nike Indy Women's Light Support Sports Bra (Plus Size) White/Black/Black (2X),New,1,$35.00,$35.00,$8.75,NIKE USA INC,,
193659939958,Nike NSW Print Romper Graphic (Grey Heather/Night Silver/White) Women's Jumpsuit (Small),New,1,$65.00,$65.00,$16.25,NIKE,,
193659939965,Nike Women's Cotton Striped Romper Grey M,New,1,$65.00,$65.00,$16.25,NIKE,,
,FBA16DTZKVL6/1ZT74T080351329559,,,,,,9/18/2021,,
19585612362,"Bali Women's Lace ""n"" Smooth Underwire Bra, In The Navy,40C",New,1,$11.99,$11.99,$3.00,BALI/HANESBRANDS INC,,
83626129744,"Vanity Fair Women's Underwear Nearly Invisible Panty, Damask Neutral, 2X-Large/9",New,1,$11.50,$11.50,$2.88,Vanity Fair,,
190744981465,Ultra Flirt Womens Pink Tie Dye Long Sleeve Crew Neck Above The Knee Drop Waist Dress Size L,New,1,$22.99,$22.99,$5.75,ULTRAFLIRT BY IKEDDI/IKEDDI ENTERPR,,
190744981588,Ultra Flirt Womens Gray Tie Dye Long Sleeve Crew Neck Above The Knee Drop Waist Dress Size L,New,1,$24.98,$24.98,$6.25,Ultra Flirt,,
190744981595,Ultra Flirt Womens Gray Tie Dye Long Sleeve Crew Neck Above The Knee Drop Waist Dress Size M,New,1,$24.98,$24.98,$6.25,Ultra Flirt,,
190744981601,Ultra Flirt Womens Gray Tie Dye Long Sleeve Crew Neck Above The Knee Drop Waist Dress Size S,New,1,$9.93,$9.93,$2.48,Ultra Flirt,,
192503491369,"Bali Women's One Smooth U Eversmooth Underwire Bra DF6560, Galactic Red, 38D",New,1,$9.99,$9.99,$2.50,BALI/HANESBRANDS INC,,
194374459738,"Free People Women's Intimately Fp Solid Rib Brami Crop Top, Size Medium/Large Orange",New,4,$28.00,$112.00,$28.00,FREE PEOPLE/URBAN OUTFITTERS,,
666805366538,"Alfred Dunner Women's Allure Slimming Missy Stretch Pants-Modern Fit, Black, 16",New,1,$48.00,$48.00,$12.00,ALFRED DUNNER,,
671478751260,PJ Salvage Flannel Top & Pants Pajama Set Charcoal Small,New,1,$68.00,$68.00,$17.00,PJ SALVAGE/DELTA GALIL USA INC,,
681283323644,"Silver Jeans Co. Women's Avery Curvy Fit High Rise Straight Leg Jean, Distressed Medium Eco Wash, 27W x 29L",New,1,$69.00,$69.00,$17.25,SILVER JEANS/WESTERN GLOVE WORK,,
681283323682,"Silver Jeans Co. Women's Avery Curvy Fit High Rise Straight Leg Jean, Distressed Medium Eco Wash, 31W x 29L",New,1,$41.40,$41.40,$10.35,Silver Jeans Co.,,
704625333405,Style & Company Womens New 1528 Navy Pocketed Zippered Straight Leg Jeans 4 B+B,New,1,$34.50,$34.50,$8.63,STYLE & CO,,
708008674178,City Studio Womens Blue Square Neck Mini Sheath Party Dress Size 0,New,1,$59.00,$59.00,$14.75,CITY TRIANGLES-JODI KRISTOPHER,,
719544845847,"Wacoal Women's Inside Edit Underwire, Sand, 32DDD",New,1,$68.00,$68.00,$17.00,WACOAL INC,,
719544950091,"Wacoal Women's Plus Size Perfect Primer Underwire Bra, Monaco Blue, 38DD",New,1,$62.00,$62.00,$15.50,WACOAL INC,,
732997212110,Alfani Womens Burgundy Straight Leg Wear to Work Pants Size 10,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
732998744580,INC Women's Jacket Pale Mauve Plus 3/4-Sleeve Blazer Pink XXL,New,1,$79.50,$79.50,$19.88,INC-MMG,,
732999344192,Alfani Womens White Textured 3/4 Sleeve Scoop Neck Wear to Work Top Size M,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
732999555260,Alfani Women Blouse Combo Sz Medium Ruched-Waist Split-Neck Top Yellow M,New,1,$59.50,$59.50,$14.88,ALFANI-EDI,,
732999647316,INC Women's Blouse Large Striped Keyhole Smock Hem Halter White L,New,1,$59.50,$59.50,$14.88,INC-MMG,,
732999845279,ALFANI Womens Red Striped Kimono Sleeve Crop Top Sweater Size M,New,1,$79.50,$79.50,$19.88,ALFANI-EDI,,
732999933136,Alfani Womens Light Blue Straight Leg Wear to Work Pants Size 8,New,1,$74.50,$74.50,$18.63,ALFANI-EDI,,
732999946150,Alfani Women's Knit Top Brilliant Twist Front Solid White XL,New,1,$59.50,$59.50,$14.88,ALFANI-EDI,,
733001309291,INC Womens Black Crew Neck T-Shirt Top Size S,New,1,$29.50,$29.50,$7.38,Inc International Concepts,,
733001450030,INC Womens Black Ruffled Printed Sweatshirt Size S,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001820680,INC Womens White Printed Top Size XL,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001820703,INC Womens Pink Printed Sweatshirt Size S,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001820727,INC Womens Pink Embellished Printed Sweatshirt Size L,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001822127,INC Womens Blue Textured Floral Long Sleeve V Neck Blouse Party Top Size M,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001822219,INC Women's Blouse Small Velvet Metallic Twist Front Silver S,New,1,$59.50,$59.50,$14.88,INC-MMG,,
733001916796,INC Womens Gray Sweatshirt Size L,New,1,$59.50,$59.50,$14.88,INC-MMG,,
733001916970,INC Womens Yellow Sweatshirt Size S,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001916987,INC Womens Yellow Sweatshirt Size M,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733002389100,Alfani Womens Blue Pouf Boat Neck Top Size XL,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
735106389208,"Natori Women's Cotton Sateen Pajama Set, Bluebell, X-Large",New,1,$140.00,$140.00,$35.00,NATORI COMPANY,,
